preprocess,feature_map,model,seconds,ok,timed_out,converged,unreliable,accuracy,balanced_accuracy,auc,sensitivity,specificity,error
Standardize (z-score),Class-conditional PCA,Random Forest,4.431591,True,False,True,False,0.8484848484848485,0.7569444444444444,0.9120370370370371,0.9583333333333334,0.5555555555555556,
Standardize (z-score),Class-conditional PCA,Gradient Boosting,0.51051,True,False,True,False,0.5454545454545454,0.5833333333333333,0.5231481481481481,0.5,0.6666666666666666,
Standardize (z-score),Class-conditional PCA,Hist Gradient Boosting,0.390092,True,False,True,False,0.8484848484848485,0.7916666666666666,0.8773148148148149,0.9166666666666666,0.6666666666666666,
Standardize (z-score),Class-conditional PCA,Logistic Regression,0.254681,True,False,True,False,0.8787878787878788,0.8472222222222222,0.9351851851851852,0.9166666666666666,0.7777777777777778,
Standardize (z-score),Class-conditional PCA,SVM (linear),0.264477,True,False,True,False,0.8787878787878788,0.8472222222222222,0.05555555555555556,0.9166666666666666,0.7777777777777778,
Standardize (z-score),Class-conditional PCA,SVM (RBF),0.288577,True,False,True,False,0.9090909090909091,0.9375,0.06944444444444445,0.875,1.0,
Standardize (z-score),Class-conditional PCA,Decision Tree,0.188724,True,False,True,False,0.45454545454545453,0.5902777777777778,0.5902777777777778,0.2916666666666667,0.8888888888888888,
Standardize (z-score),Class-conditional PCA,Naive Bayes,0.188555,True,False,True,False,0.9393939393939394,0.9236111111111112,0.9768518518518519,0.9583333333333334,0.8888888888888888,
Standardize (z-score),Class-conditional PCA,k-NN,0.192149,True,False,True,False,0.8484848484848485,0.7569444444444444,0.8865740740740742,0.9583333333333334,0.5555555555555556,
Standardize (z-score),Class-conditional PCA,K-TSP (Top-Scoring Pairs),0.222493,True,False,True,False,0.7272727272727273,0.7430555555555556,0.8680555555555557,0.7083333333333334,0.7777777777777778,
Standardize (z-score),Class-conditional PCA,Nearest Shrunken Centroid,0.186405,True,False,True,False,0.8181818181818182,0.8055555555555556,0.9351851851851852,0.8333333333333334,0.7777777777777778,
Standardize (z-score),Rank transform (TSP-style),Random Forest,4.842628,True,False,True,False,0.9696969696969697,0.9444444444444444,1.0,1.0,0.8888888888888888,
Standardize (z-score),Rank transform (TSP-style),Gradient Boosting,8.089277,True,False,True,False,0.9393939393939394,0.8888888888888888,1.0,1.0,0.7777777777777778,
Standardize (z-score),Rank transform (TSP-style),Hist Gradient Boosting,32.79573,True,False,True,False,0.9696969696969697,0.9444444444444444,0.9606481481481481,1.0,0.8888888888888888,
Standardize (z-score),Rank transform (TSP-style),Logistic Regression,0.55914,True,False,True,False,0.9696969696969697,0.9791666666666667,1.0,0.9583333333333334,1.0,
Standardize (z-score),Rank transform (TSP-style),SVM (linear),0.578358,True,False,True,False,0.9696969696969697,0.9791666666666667,1.0,0.9583333333333334,1.0,
Standardize (z-score),Rank transform (TSP-style),SVM (RBF),0.591339,True,False,True,False,0.9393939393939394,0.8888888888888888,0.9953703703703703,1.0,0.7777777777777778,
Standardize (z-score),Rank transform (TSP-style),Decision Tree,0.46642,True,False,True,False,0.9090909090909091,0.8680555555555556,0.8680555555555557,0.9583333333333334,0.7777777777777778,
Standardize (z-score),Rank transform (TSP-style),Naive Bayes,0.368107,True,False,True,False,0.8787878787878788,0.7777777777777778,0.7777777777777778,1.0,0.5555555555555556,
Standardize (z-score),Rank transform (TSP-style),k-NN,0.349548,True,False,True,False,0.9696969696969697,0.9791666666666667,0.9884259259259259,0.9583333333333334,1.0,
Standardize (z-score),Rank transform (TSP-style),K-TSP (Top-Scoring Pairs),3.422603,True,False,True,False,0.7878787878787878,0.8541666666666667,1.0,0.7083333333333334,1.0,
Standardize (z-score),Rank transform (TSP-style),Nearest Shrunken Centroid,0.430535,True,False,True,False,0.9696969696969697,0.9791666666666667,0.9791666666666667,0.9583333333333334,1.0,
Standardize (z-score),Select best 500 genes,Random Forest,4.508861,True,False,True,False,0.9696969696969697,0.9444444444444444,1.0,1.0,0.8888888888888888,
Standardize (z-score),Select best 500 genes,Gradient Boosting,0.693298,True,False,True,False,0.9393939393939394,0.8888888888888888,0.9953703703703703,1.0,0.7777777777777778,
Standardize (z-score),Select best 500 genes,Hist Gradient Boosting,0.930323,True,False,True,False,0.8787878787878788,0.8472222222222222,0.9212962962962963,0.9166666666666666,0.7777777777777778,
Standardize (z-score),Select best 500 genes,Logistic Regression,0.139491,True,False,True,False,1.0,1.0,1.0,1.0,1.0,
Standardize (z-score),Select best 500 genes,SVM (linear),0.199747,True,False,True,False,0.9696969696969697,0.9791666666666667,1.0,0.9583333333333334,1.0,
Standardize (z-score),Select best 500 genes,SVM (RBF),0.214895,True,False,True,False,0.9393939393939394,0.9236111111111112,0.9907407407407407,0.9583333333333334,0.8888888888888888,
