preprocess,feature_map,model,seconds,ok,timed_out,converged,unreliable,accuracy,balanced_accuracy,auc,sensitivity,specificity,error
Standardize (z-score),Class-conditional PCA,Naive Bayes,0.664004,True,False,True,False,0.6372549019607843,0.6315384615384616,0.8423076923076922,0.9230769230769231,0.34,
Standardize (z-score),Class-conditional PCA,k-NN,0.655011,True,False,True,False,0.7254901960784313,0.7253846153846153,0.7682692307692308,0.7307692307692307,0.72,
Standardize (z-score),Class-conditional PCA,K-TSP (Top-Scoring Pairs),0.70099,True,False,True,False,0.803921568627451,0.801923076923077,0.8553846153846154,0.9038461538461539,0.7,
Standardize (z-score),Class-conditional PCA,Nearest Shrunken Centroid,0.648207,True,False,True,False,0.5882352941176471,0.5853846153846154,0.6046153846153846,0.7307692307692307,0.44,
Standardize (z-score),Rank transform (TSP-style),Random Forest,5.225568,True,False,True,False,0.9117647058823529,0.9123076923076923,0.9253846153846155,0.8846153846153846,0.94,
Standardize (z-score),Rank transform (TSP-style),Gradient Boosting,58.899828,True,False,True,False,0.7745098039215687,0.7734615384615384,0.8346153846153846,0.8269230769230769,0.72,
Standardize (z-score),Rank transform (TSP-style),Hist Gradient Boosting,40.478449,True,False,True,False,0.8725490196078431,0.8723076923076922,0.9396153846153846,0.8846153846153846,0.86,
Standardize (z-score),Rank transform (TSP-style),Logistic Regression,1.402914,True,False,True,False,0.8823529411764706,0.8819230769230769,0.9423076923076924,0.9038461538461539,0.86,
Standardize (z-score),Rank transform (TSP-style),SVM (linear),2.268655,True,False,True,False,0.9019607843137255,0.9023076923076923,0.9415384615384615,0.8846153846153846,0.92,
Standardize (z-score),Rank transform (TSP-style),SVM (RBF),2.485854,True,False,True,False,0.8627450980392157,0.8630769230769231,0.908846153846154,0.8461538461538461,0.88,
Standardize (z-score),Rank transform (TSP-style),Decision Tree,1.821032,True,False,True,False,0.7647058823529411,0.7642307692307693,0.7642307692307692,0.7884615384615384,0.74,
Standardize (z-score),Rank transform (TSP-style),Naive Bayes,1.086427,True,False,True,False,0.6176470588235294,0.6153846153846154,0.625,0.7307692307692307,0.5,
Standardize (z-score),Rank transform (TSP-style),k-NN,1.048205,True,False,True,False,0.803921568627451,0.8046153846153846,0.8263461538461538,0.7692307692307693,0.84,
Standardize (z-score),Rank transform (TSP-style),K-TSP (Top-Scoring Pairs),4.507945,True,False,True,False,0.9117647058823529,0.9123076923076923,0.9488461538461537,0.8846153846153846,0.94,
Standardize (z-score),Rank transform (TSP-style),Nearest Shrunken Centroid,1.047285,True,False,True,False,0.6176470588235294,0.6161538461538462,0.621346153846154,0.6923076923076923,0.54,
Standardize (z-score),Select best 500 genes,Random Forest,4.770103,True,False,True,False,0.9215686274509803,0.9219230769230768,0.9465384615384614,0.9038461538461539,0.94,
Standardize (z-score),Select best 500 genes,Gradient Boosting,2.878046,True,False,True,False,0.9019607843137255,0.9011538461538462,0.9071153846153845,0.9423076923076923,0.86,
Standardize (z-score),Select best 500 genes,Hist Gradient Boosting,1.237697,True,False,True,False,0.9411764705882353,0.9415384615384615,0.9653846153846153,0.9230769230769231,0.96,
Standardize (z-score),Select best 500 genes,Logistic Regression,0.254256,True,False,True,False,0.9215686274509803,0.9219230769230768,0.9503846153846154,0.9038461538461539,0.94,
Standardize (z-score),Select best 500 genes,SVM (linear),0.328769,True,False,True,False,0.9215686274509803,0.9219230769230768,0.9488461538461539,0.9038461538461539,0.94,
Standardize (z-score),Select best 500 genes,SVM (RBF),0.344036,True,False,True,False,0.9019607843137255,0.9026923076923077,0.9442307692307691,0.8653846153846154,0.94,
Standardize (z-score),Select best 500 genes,Decision Tree,0.250495,True,False,True,False,0.8823529411764706,0.8815384615384616,0.8815384615384616,0.9230769230769231,0.84,
Standardize (z-score),Select best 500 genes,Naive Bayes,0.231487,True,False,True,False,0.8627450980392157,0.8623076923076922,0.8592307692307692,0.8846153846153846,0.84,
Standardize (z-score),Select best 500 genes,k-NN,0.23156,True,False,True,False,0.8921568627450981,0.8923076923076922,0.925,0.8846153846153846,0.9,
Standardize (z-score),Select best 500 genes,K-TSP (Top-Scoring Pairs),3.284496,True,False,True,False,0.9313725490196079,0.9315384615384615,0.9578846153846153,0.9230769230769231,0.94,
Standardize (z-score),Select best 500 genes,Nearest Shrunken Centroid,0.224485,True,False,True,False,0.8921568627450981,0.8923076923076922,0.9253846153846155,0.8846153846153846,0.9,
Robust standardize (median/IQR),None (identity),Random Forest,8.200261,True,False,True,False,0.8823529411764706,0.8823076923076922,0.9290384615384617,0.8846153846153846,0.88,
